iter	MultiClass
189	0.1754776794
190	0.1751177811
191	0.1746339786
192	0.1740650043
193	0.1735274137
194	0.1732774028
195	0.1730059902
196	0.172649472
197	0.1724048876
198	0.1719451052
199	0.1716084253
200	0.1712660279
201	0.1708310101
202	0.1705339443
203	0.1702097561
204	0.1700016718
205	0.1696835377
206	0.169553225
207	0.1691915605
208	0.1687188547
209	0.1683729981
210	0.1681033781
211	0.1678192937
212	0.1674857952
213	0.1672195312
214	0.1667487709
215	0.1665647538
216	0.1663811179
217	0.1661648935
218	0.1659777087
219	0.1655487304
220	0.165336442
221	0.1651323144
222	0.1649521641
223	0.1645994943
224	0.1641156861
225	0.1637483579
226	0.1635240593
227	0.1631391683
228	0.1629737063
229	0.1627507932
230	0.1624456876
231	0.1620867478
232	0.1619237164
233	0.1617186868
234	0.1614489856
235	0.1612447863
236	0.1609354898
237	0.1607448828
238	0.160613339
239	0.1604065568
240	0.160052198
241	0.1598416664
242	0.1595514301
243	0.1591439302
244	0.1588599842
245	0.1586690807
246	0.1582937426
247	0.1581473015
248	0.1579050951
249	0.157665905
250	0.1574167769
251	0.1572749493
252	0.156981325
253	0.1567124352
254	0.1564548816
255	0.1562080203
256	0.1560136097
257	0.1558839956
258	0.1556380391
259	0.1553867518
260	0.1551550166
261	0.1550003354
262	0.1546863514
263	0.154348668
264	0.1541716288
265	0.1539674048
266	0.1538450066
267	0.1536529513
268	0.1534577628
269	0.1532165008
270	0.1529466052
271	0.1527445903
272	0.1526227131
273	0.1524564957
274	0.1521197197
275	0.1519696296
276	0.1518664267
277	0.1516678913
278	0.1513281934
279	0.1511742194
280	0.15092355
281	0.1507964758
282	0.1505036451
283	0.1502962974
284	0.1501045857
285	0.1499045023
286	0.1497480992
287	0.1496305305
288	0.1495083213
289	0.149238617
290	0.1491024386
291	0.1488616904
292	0.1487026329
293	0.1484746152
294	0.1483214879
295	0.1482096463
296	0.1480854875
297	0.1479468156
298	0.1477844802
299	0.1476530865
300	0.1475696683
301	0.1474058985
302	0.1471843371
303	0.1470126744
304	0.146835814
305	0.1466887464
306	0.1465836896
307	0.1464660607
308	0.1463994529
309	0.1462544291
310	0.1461067322
311	0.1459865067
312	0.1457834876
313	0.1456694033
314	0.1454784442
315	0.1453624377
316	0.1451658622
317	0.1450165684
318	0.1448683842
319	0.1447460808
320	0.1445642597
321	0.1443971569
322	0.1442955734
323	0.1441505003
324	0.1439615391
325	0.1438297492
326	0.1437396358
327	0.1436054228
328	0.1434928755
329	0.1433929836
330	0.1432685027
331	0.1431908246
332	0.1430453636
333	0.1429084267
334	0.1428129324
335	0.1426174434
336	0.142468343
337	0.1423977139
338	0.1422569957
339	0.142097347
340	0.1419832316
341	0.1418208605
342	0.1417083005
343	0.1415902794
344	0.1414424459
345	0.141266189
346	0.141117628
347	0.1410082844
348	0.1408445674
349	0.1407197789
350	0.1406455971
351	0.1405388937
352	0.1404281761
353	0.1403067873
354	0.1401740234
355	0.1401191881
356	0.1400475095
357	0.1399114928
358	0.1397968151
359	0.1396448597
360	0.1395415293
361	0.1394241624
362	0.1393319413
363	0.1392316878
364	0.1391748647
365	0.1390359522
366	0.1388830875
367	0.138718579
368	0.1386017469
369	0.1385293347
370	0.1383979829
371	0.1383252398
372	0.1382736046
373	0.1382149133
374	0.1381548614
375	0.1380913378
376	0.1379414118
377	0.13782442
378	0.1377637915
379	0.1377108068
380	0.1376191205
381	0.1375399935
382	0.1374706405
383	0.1373984354
384	0.1373177104
385	0.1372503124
386	0.1371508483
387	0.1370741941
388	0.1369193983
389	0.1368171702
390	0.1367210677
391	0.136663352
392	0.1366035781
393	0.1365061434
394	0.1364469719
395	0.1363546902
396	0.1362247749
397	0.1361527821
398	0.1360464377
399	0.1359700315
400	0.1358177645
401	0.135767716
402	0.1357091778
403	0.1356455019
404	0.1355183631
405	0.1354031819
406	0.1353473296
407	0.1352855577
408	0.1351582233
409	0.1350754335
410	0.1349517568
411	0.1348669908
412	0.1348022764
413	0.1347541954
414	0.1347156549
415	0.1346068236
416	0.1345102938
417	0.1344423743
418	0.134359473
419	0.1342781233
420	0.1341474337
421	0.1340989346
422	0.1339979967
423	0.1339474197
424	0.1338615933
425	0.1338135384
426	0.1337780084
427	0.1336918561
428	0.1335854209
429	0.1335325323
430	0.1334847997
431	0.1334085855
432	0.1333702096
433	0.1332635727
434	0.1332172339
435	0.1331233655
436	0.133001508
437	0.132891336
438	0.1328017628
439	0.1327178181
440	0.1326667299
441	0.1325702948
442	0.1324954091
443	0.1324012719
444	0.1323386347
445	0.1322596761
446	0.1322056178
447	0.132173398
448	0.1320890406
449	0.1320132923
450	0.1319603841
451	0.1319111082
452	0.131847346
453	0.1317739089
454	0.1317290423
455	0.131672898
456	0.131592732
457	0.1315336349
458	0.1314595584
459	0.1314063625
460	0.131354796
461	0.1313167719
462	0.1312516136
463	0.1312125479
464	0.1311210641
465	0.1310461061
466	0.1309914565
467	0.1309515398
468	0.1308733289
469	0.1307933364
470	0.1307371721
471	0.1306891584
472	0.1306194769
473	0.1305786433
474	0.1305271913
475	0.1304753569
476	0.130417949
477	0.1303946038
478	0.1302908882
479	0.1302271089
480	0.1301897732
481	0.1301218765
482	0.1300934241
483	0.130050792
484	0.1299942745
485	0.1299518664
486	0.12989884
487	0.1298085465
488	0.1297505807
489	0.1296735087
490	0.1295799633
491	0.1295535453
492	0.1295130755
493	0.1294693422
494	0.1294091868
495	0.1293542743
496	0.1292800117
497	0.1292017141
498	0.1291591285
499	0.1290943355
500	0.1290574417
501	0.1289930542
502	0.1289750364
503	0.1288942432
504	0.1288258521
505	0.12876812
506	0.1287378729
507	0.1286791686
508	0.128641494
509	0.1285980062
510	0.1285358985
511	0.1285070207
512	0.1284527906
513	0.1284263891
514	0.1283694565
515	0.1283309428
516	0.1282603869
517	0.1282336256
518	0.1281883947
519	0.1281213416
520	0.1280700063
521	0.1280245091
522	0.1279909099
523	0.1279458236
524	0.1279144717
525	0.1278493777
526	0.1277967081
527	0.127740984
528	0.1276874371
529	0.1276649023
530	0.1276182375
531	0.12756028
532	0.127506828
533	0.1274616584
534	0.1274107978
535	0.1273832189
536	0.1273517457
537	0.1273029269
538	0.1272651135
539	0.1272264489
540	0.127196225
541	0.1271580716
542	0.1271345454
543	0.1271088139
544	0.1270396396
545	0.1270106078
546	0.1269694594
547	0.1269466136
548	0.1269218823
549	0.1268817863
550	0.1268671
551	0.1268215804
552	0.1268036822
553	0.1267659017
554	0.1267288814
555	0.1266870475
556	0.1266592184
557	0.1266302347
558	0.1265930434
559	0.1265290317
560	0.126489844
561	0.1264593189
562	0.1264264633
563	0.1264103495
564	0.1263773772
565	0.1263541409
566	0.1263090538
567	0.1262640412
568	0.126217518
569	0.1261800189
570	0.1261093287
571	0.1260647448
572	0.126035012
573	0.1259849698
574	0.1259608162
575	0.1259211036
576	0.1258781649
577	0.1258353715
578	0.12579019
579	0.1257677388
580	0.1257181213
581	0.1256864604
582	0.125648984
583	0.1256260891
584	0.1255837451
585	0.1255570863
586	0.1255061108
587	0.1254711607
588	0.1254456522
589	0.1254037309
590	0.1253843647
591	0.1253486395
592	0.1253373398
593	0.1253156249
594	0.1252716351
595	0.1252452982
596	0.1252184062
597	0.1251853536
598	0.1251563532
599	0.1251400335
600	0.1251103203
601	0.1250966315
602	0.1250628398
603	0.1250384479
604	0.1249785724
605	0.1249502429
606	0.1249357177
607	0.1248801324
608	0.1248434239
609	0.1248197303
610	0.1247991273
611	0.1247241978
612	0.1246989641
613	0.1246655157
614	0.1246341782
615	0.1246183418
616	0.1245812491
617	0.1245636465
618	0.1245434305
619	0.1245085576
620	0.1244737845
621	0.1244317357
622	0.1243987955
623	0.1243603883
624	0.1243401877
625	0.1243052954
626	0.1242833528
627	0.1242365274
628	0.1242111383
629	0.1241865143
630	0.1241603919
631	0.1241292737
632	0.1240930064
633	0.1240744619
634	0.1240467448
635	0.1240261753
636	0.1240129848
637	0.1239716113
638	0.1239125491
639	0.1238962335
640	0.1238765597
641	0.1238443118
642	0.1237920274
643	0.1237780645
644	0.1237306243
645	0.1236991737
646	0.1236634453
647	0.1236313244
648	0.1236204206
649	0.1235933594
650	0.1235345797
651	0.123519598
652	0.1234930831
653	0.1234727248
654	0.1234511246
655	0.1234240601
656	0.1233978378
657	0.1233872731
658	0.1233489599
659	0.1233256545
660	0.123272247
661	0.1232374646
662	0.1232186357
663	0.1231955067
664	0.1231574845
665	0.1231429717
666	0.1231026525
667	0.1230749889
668	0.1230595695
669	0.1230449103
670	0.1230072118
671	0.1229769129
672	0.1229499665
673	0.1229161737
674	0.1228900723
675	0.1228560859
676	0.1228233994
677	0.122795038
678	0.1227782852
679	0.1227604225
680	0.1227385557
681	0.1226837775
682	0.1226614401
683	0.1226402387
684	0.1226297146
685	0.1226030423
686	0.1225782519
687	0.1225450046
688	0.1225291274
689	0.1225070072
690	0.1224739943
691	0.1224411552
692	0.1224321045
693	0.1224144118
694	0.1223926188
695	0.1223638009
696	0.1223442658
697	0.1223286147
698	0.1223107571
699	0.122286005
700	0.1222628584
701	0.1222195639
702	0.122196564
703	0.1221472149
704	0.1221203738
705	0.1220829904
706	0.1220585694
707	0.1220290373
708	0.1220068702
709	0.1219938761
710	0.1219811056
711	0.1219615913
712	0.121940046
713	0.1219067455
714	0.1218801245
715	0.1218620387
716	0.1218258394
717	0.1217902154
718	0.1217817124
719	0.1217496001
720	0.1217239823
721	0.1217063092
722	0.1216806013
723	0.1216530958
724	0.1216405853
725	0.121622139
726	0.121599029
727	0.12157214
728	0.1215243688
729	0.121503918
730	0.1214688668
731	0.1214273532
732	0.1213744267
733	0.1213570367
734	0.1213377562
735	0.1213111809
736	0.1212923251
737	0.1212814879
738	0.1212657331
739	0.1212559049
740	0.1212307657
741	0.1212092979
742	0.1211952553
743	0.1211729718
744	0.1211505073
745	0.1211294292
746	0.121115969
747	0.1210962135
748	0.1210745505
749	0.1210524745
750	0.1210214666
751	0.1210100395
752	0.1209672248
753	0.1209506874
754	0.1209268584
755	0.1209079801
756	0.1208797392
757	0.1208632047
758	0.1208281717
759	0.1208038346
760	0.1207733764
761	0.120747619
762	0.1207236318
763	0.1207117306
764	0.1206955342
765	0.1206649591
766	0.1206434234
767	0.1206272422
768	0.1206187694
769	0.120601002
770	0.1205824925
771	0.1205601175
772	0.1205431013
773	0.120536558
774	0.1205177548
775	0.1204990945
776	0.1204829661
777	0.1204717729
778	0.1204583861
779	0.1204282161
780	0.1204147321
781	0.1203892333
782	0.1203727573
783	0.1203572735
784	0.1203290297
785	0.1203087283
786	0.1202971789
787	0.1202709194
788	0.1202316587
789	0.1202045376
790	0.1201885952
791	0.1201637153
792	0.1201441321
793	0.1201225471
794	0.1201069501
795	0.1200958007
796	0.1200743857
797	0.120046195
798	0.1200222598
799	0.1200049377
800	0.1199827372
801	0.119965623
802	0.1199509908
803	0.119936104
804	0.1199256542
805	0.1199154189
806	0.1199057563
807	0.1198830525
808	0.1198632378
809	0.1198411624
810	0.119822839
811	0.1198100986
812	0.1198038498
813	0.1197888034
814	0.1197691843
815	0.1197448164
816	0.1197351979
817	0.1197050028
818	0.1196681271
819	0.1196508519
820	0.1196443428
821	0.1196322642
822	0.1196115067
823	0.1195884395
824	0.1195689313
825	0.1195411167
826	0.1195233095
827	0.1195030999
828	0.1194879316
829	0.1194671127
830	0.1194501931
831	0.119435606
832	0.1194215343
833	0.1194156843
834	0.1194086002
835	0.1194008871
836	0.1193787138
837	0.119369459
838	0.1193498058
839	0.119335777
840	0.1193255848
841	0.119311755
842	0.1192950212
843	0.1192770413
844	0.1192681713
845	0.1192545245
846	0.1192390181
847	0.1192250073
848	0.1192086017
849	0.1191939354
850	0.1191888838
851	0.1191828589
852	0.119174535
853	0.1191555992
854	0.1191479147
855	0.1191359976
856	0.1191288811
857	0.1191193232
858	0.1191089117
859	0.1190922018
860	0.119079519
861	0.1190685183
862	0.1190490388
863	0.1190361274
864	0.1190229959
865	0.1190159191
866	0.1189955936
867	0.1189817894
868	0.1189674753
869	0.1189541429
870	0.1189413368
871	0.1189312002
872	0.1189120969
873	0.1188975783
874	0.1188858265
875	0.1188689427
876	0.1188532324
877	0.1188356371
878	0.1188179781
879	0.1188036293
880	0.1187881889
881	0.1187542139
882	0.1187394275
883	0.1187309741
884	0.1187133359
885	0.1187024749
886	0.1186889288
887	0.11865437
888	0.118638691
889	0.118625843
890	0.1186174518
891	0.1186065201
892	0.1185932074
893	0.1185744493
894	0.1185633584
895	0.118542929
896	0.1185304125
897	0.1185190784
898	0.1185039519
899	0.1184817667
900	0.1184689248
901	0.1184594694
902	0.1184526361
903	0.1184442371
904	0.1184296944
905	0.1184002595
906	0.1183904051
907	0.1183806096
908	0.1183751351
909	0.118363962
910	0.118351758
911	0.1183402372
912	0.118330635
913	0.1183126311
914	0.1183080465
915	0.1182936444
916	0.1182700235
917	0.1182534004
918	0.1182340063
919	0.1182246101
920	0.1182167125
921	0.1182020053
922	0.1181846862
923	0.1181784655
924	0.118165798
925	0.1181595546
926	0.118152755
927	0.1181358127
928	0.1181202406
929	0.1181114559
930	0.1181012001
931	0.1180826275
932	0.1180730976
933	0.1180618149
934	0.1180450526
935	0.1180239753
936	0.1180109233
937	0.1180013423
938	0.1179754973
939	0.1179664751
940	0.117955903
941	0.1179445004
942	0.1179337486
943	0.1179215535
944	0.1179097361
945	0.117891185
946	0.1178659572
947	0.1178472023
948	0.1178357505
949	0.1178299864
950	0.1177994525
951	0.1177730401
952	0.1177650311
953	0.1177446943
954	0.1177340955
955	0.1177210648
956	0.1177044863
957	0.1176941544
958	0.1176804098
959	0.11766322
960	0.1176510217
961	0.1176377067
962	0.1176277535
963	0.1176123978
964	0.1176009141
965	0.1175882729
966	0.1175792571
967	0.1175648593
968	0.1175593275
969	0.11755504
970	0.1175406355
971	0.1175294642
972	0.1175165436
973	0.1175082484
974	0.1174991465
975	0.1174766314
976	0.1174724742
977	0.1174641204
978	0.1174487829
979	0.1174391976
980	0.1174324033
981	0.117428538
982	0.1174065108
983	0.1173959606
984	0.1173889779
985	0.1173798907
986	0.1173691522
987	0.1173581603
988	0.1173421701
989	0.117331564
990	0.1173129586
991	0.1173028603
992	0.1172942943
993	0.1172827797
994	0.1172750726
995	0.1172690642
996	0.1172561852
997	0.1172436817
998	0.1172342786
999	0.1172235735
